model,env,operator,measure,mean,ci_lo,ci_hi,n,n_clusters,dz,p,family,label,params_b,log_params
smollm2-135m,coderepair,flip_arith,G,-66.9971131171499,-86.66953540699822,-47.74255137017796,7,7,-2.3328665353270774,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,coderepair,flip_arith,copy,68.92166074684688,49.3423684333052,88.63612479950699,7,7,2.3630605957705426,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,coderepair,flip_arith,sem,-1.9245476296969823,-3.732549896410533,-0.33399916057075824,7,7,-0.78266727472518,0.002,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,coderepair,flip_bool,G,-75.20778178317207,-108.82597701890128,-49.4552081142153,7,7,-1.6800904175752331,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,coderepair,flip_bool,copy,75.24370418276105,50.05048749297857,107.53733572789601,7,7,1.7317971342650544,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,coderepair,flip_bool,sem,-0.03592239958899362,-1.0068326933043343,1.18757056082998,7,7,-0.021420763571532688,0.85,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,coderepair,flip_comparison,G,-82.80114057234356,-109.02441699164254,-53.10021552230631,7,7,-1.9939865216831107,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,coderepair,flip_comparison,copy,85.36814260482788,54.41940242797136,112.16374143723928,7,7,1.983206137215449,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,coderepair,flip_comparison,sem,-2.5670020324843272,-4.05319843611547,-1.1703275497470584,7,7,-1.2258063618863277,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,coderepair,flip_comparison2,G,-109.62150577704112,-153.1962608496348,-70.84276294708252,6,6,-1.9496307194102536,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,coderepair,flip_comparison2,copy,111.50650684535503,72.93993975222111,153.65741221110025,6,6,2.0322068989885116,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,coderepair,flip_comparison2,sem,-1.8850010683139165,-3.2133182336886725,-0.4742332221319294,6,6,-1.0200101137905107,0.002,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,coderepair,index_shift,G,-86.97153915961583,-121.68760520219803,-56.6452614679933,6,6,-2.006713445183358,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,coderepair,index_shift,copy,87.32402694225311,56.32365091939767,122.8496121565501,6,6,1.978162544614935,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,coderepair,index_shift,sem,-0.35248778263727826,-1.115862290064494,0.16653096526861114,6,6,-0.38769527216647415,0.277,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,coderepair,off_by_one,G,-87.45337543884914,-116.63855743408203,-62.240914821624756,6,6,-2.3633659512890377,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,coderepair,off_by_one,copy,89.78881800174713,62.838895320892334,121.30718712011974,6,6,2.2681855072227526,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,coderepair,off_by_one,sem,-2.3354425628980002,-4.380524059136708,-0.4568206638097809,6,6,-0.8657261925263042,0.014,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,coderepair,undefined_name,G,-77.04715205090386,-93.93489091013159,-60.85164400509426,7,7,-3.0509859371973516,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,coderepair,undefined_name,copy,79.58985276733127,63.620651168482645,96.7762432434729,7,7,3.165629041913209,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,coderepair,undefined_name,sem,-2.5427007164273943,-3.5191001977239336,-1.360985108784267,7,7,-1.582326646861808,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,arg_typo,G,-18.979435132100033,-22.947001106463947,-14.799230249569968,13,13,-2.4130496781921433,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,arg_typo,copy,16.439180582761765,12.824953447798123,19.965168142146783,13,13,2.431175771131384,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,arg_typo,sem,2.5402545493382673,1.2712743513859235,3.9004232115470447,13,13,1.0029855694461183,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,date_format,G,-23.21909073682932,-25.697844431606622,-20.397741461946424,13,13,-4.4802101975542294,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,date_format,copy,18.377993221466358,14.397126188301124,21.924194237819087,13,13,2.510632529274643,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,date_format,sem,4.84109751536296,3.5662534333192384,6.128581120532291,13,13,1.9892251151556222,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,drop_arg,G,-17.254396443183605,-20.2270129966523,-13.648114641383293,13,12,-2.7444388828926183,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,drop_arg,copy,15.321203493154966,10.877118556573986,18.736915757283565,13,12,2.0690117552528,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,toolshed,drop_arg,sem,1.9331929500286396,0.9533368138985319,3.1151682786643495,13,12,0.8559446033648229,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
